sid,quantifier,response,condition
1,Every_day,100,nominal
4,Every_day,100,nominal
6,Every_day,100,nominal
7,Every_day,72,nominal
10,Every_day,79,nominal
11,Every_day,100,nominal
13,Every_day,100,nominal
14,Every_day,100,nominal
19,Every_day,100,nominal
20,Every_day,100,nominal
22,Every_day,94,nominal
23,Every_day,99,nominal
27,Every_day,100,nominal
28,Every_day,95,nominal
29,Every_day,100,nominal
32,Every_day,100,nominal
34,Every_day,100,nominal
35,Every_day,100,nominal
38,Every_day,100,nominal
40,Every_day,100,nominal
41,Every_day,100,nominal
43,Every_day,100,nominal
46,Every_day,100,nominal
47,Every_day,100,nominal
50,Every_day,100,nominal
51,Every_day,100,nominal
53,Every_day,100,nominal
56,Every_day,95,nominal
1,each_day,100,nominal
4,each_day,100,nominal
6,each_day,100,nominal
7,each_day,100,nominal
10,each_day,76,nominal
11,each_day,100,nominal
13,each_day,100,nominal
14,each_day,100,nominal
19,each_day,100,nominal
20,each_day,100,nominal
22,each_day,98,nominal
23,each_day,100,nominal
27,each_day,100,nominal
28,each_day,95,nominal
29,each_day,100,nominal
34,each_day,100,nominal
35,each_day,100,nominal
38,each_day,100,nominal
40,each_day,100,nominal
41,each_day,10,nominal
43,each_day,100,nominal
46,each_day,100,nominal
47,each_day,100,nominal
50,each_day,100,nominal
51,each_day,100,nominal
53,each_day,100,nominal
56,each_day,100,nominal
1,all_days,100,nominal
4,all_days,100,nominal
6,all_days,100,nominal
7,all_days,100,nominal
10,all_days,100,nominal
11,all_days,100,nominal
13,all_days,100,nominal
14,all_days,100,nominal
19,all_days,100,nominal
20,all_days,100,nominal
22,all_days,100,nominal
23,all_days,100,nominal
27,all_days,100,nominal
28,all_days,100,nominal
29,all_days,100,nominal
32,all_days,100,nominal
34,all_days,100,nominal
35,all_days,100,nominal
38,all_days,100,nominal
40,all_days,100,nominal
41,all_days,100,nominal
43,all_days,100,nominal
46,all_days,100,nominal
47,all_days,100,nominal
50,all_days,100,nominal
51,all_days,100,nominal
53,all_days,100,nominal
56,all_days,100,nominal
1,most_days,90,nominal
4,most_days,80,nominal
6,most_days,77,nominal
7,most_days,81,nominal
10,most_days,66,nominal
11,most_days,75,nominal
13,most_days,71,nominal
14,most_days,85,nominal
19,most_days,75,nominal
20,most_days,75,nominal
22,most_days,84,nominal
23,most_days,80,nominal
27,most_days,80,nominal
28,most_days,75,nominal
29,most_days,92,nominal
32,most_days,70,nominal
34,most_days,85,nominal
35,most_days,80,nominal
38,most_days,70,nominal
40,most_days,81,nominal
41,most_days,61,nominal
43,most_days,54,nominal
46,most_days,75,nominal
47,most_days,70,nominal
50,most_days,66,nominal
51,most_days,60,nominal
53,most_days,80,nominal
56,most_days,70,nominal
1,many_days,64,nominal
4,many_days,65,nominal
6,many_days,64,nominal
7,many_days,80,nominal
10,many_days,62,nominal
11,many_days,65,nominal
13,many_days,68,nominal
14,many_days,75,nominal
19,many_days,50,nominal
20,many_days,60,nominal
22,many_days,36,nominal
23,many_days,88,nominal
27,many_days,51,nominal
28,many_days,65,nominal
29,many_days,70,nominal
32,many_days,100,nominal
34,many_days,70,nominal
35,many_days,60,nominal
38,many_days,82,nominal
40,many_days,88,nominal
41,many_days,78,nominal
43,many_days,51,nominal
46,many_days,40,nominal
47,many_days,70,nominal
50,many_days,40,nominal
51,many_days,61,nominal
53,many_days,35,nominal
56,many_days,35,nominal
1,some_days,15,nominal
4,some_days,40,nominal
6,some_days,31,nominal
7,some_days,40,nominal
10,some_days,53,nominal
11,some_days,50,nominal
13,some_days,31,nominal
14,some_days,32,nominal
19,some_days,35,nominal
20,some_days,33,nominal
22,some_days,45,nominal
23,some_days,40,nominal
27,some_days,67,nominal
28,some_days,30,nominal
29,some_days,55,nominal
32,some_days,20,nominal
34,some_days,40,nominal
35,some_days,30,nominal
38,some_days,30,nominal
40,some_days,13,nominal
41,some_days,68,nominal
43,some_days,33,nominal
46,some_days,30,nominal
47,some_days,30,nominal
50,some_days,23,nominal
51,some_days,20,nominal
53,some_days,20,nominal
56,some_days,40,nominal
1,several_days,63,nominal
4,several_days,24,nominal
6,several_days,18,nominal
7,several_days,57,nominal
10,several_days,64,nominal
11,several_days,25,nominal
13,several_days,5,nominal
14,several_days,7,nominal
19,several_days,35,nominal
20,several_days,17,nominal
22,several_days,8,nominal
23,several_days,35,nominal
27,several_days,30,nominal
28,several_days,12,nominal
29,several_days,14,nominal
32,several_days,18,nominal
34,several_days,20,nominal
35,several_days,10,nominal
38,several_days,4,nominal
40,several_days,37,nominal
41,several_days,6,nominal
43,several_days,42,nominal
46,several_days,15,nominal
47,several_days,40,nominal
50,several_days,5,nominal
51,several_days,16,nominal
53,several_days,10,nominal
56,several_days,10,nominal
1,a_few_days,3,nominal
4,a_few_days,3,nominal
6,a_few_days,13,nominal
7,a_few_days,6,nominal
10,a_few_days,17,nominal
11,a_few_days,15,nominal
13,a_few_days,9,nominal
14,a_few_days,6,nominal
19,a_few_days,15,nominal
20,a_few_days,10,nominal
22,a_few_days,7,nominal
23,a_few_days,11,nominal
27,a_few_days,25,nominal
28,a_few_days,4,nominal
29,a_few_days,7,nominal
34,a_few_days,5,nominal
35,a_few_days,20,nominal
38,a_few_days,5,nominal
40,a_few_days,13,nominal
41,a_few_days,11,nominal
43,a_few_days,8,nominal
46,a_few_days,10,nominal
47,a_few_days,20,nominal
50,a_few_days,3,nominal
51,a_few_days,6,nominal
53,a_few_days,5,nominal
56,a_few_days,6,nominal
1,few_days,3,nominal
4,few_days,5,nominal
6,few_days,6,nominal
7,few_days,17,nominal
10,few_days,21,nominal
11,few_days,10,nominal
13,few_days,14,nominal
14,few_days,13,nominal
19,few_days,25,nominal
20,few_days,10,nominal
22,few_days,12,nominal
23,few_days,27,nominal
27,few_days,30,nominal
28,few_days,8,nominal
29,few_days,3,nominal
34,few_days,5,nominal
35,few_days,20,nominal
38,few_days,6,nominal
40,few_days,20,nominal
41,few_days,25,nominal
43,few_days,37,nominal
46,few_days,10,nominal
47,few_days,20,nominal
50,few_days,12,nominal
51,few_days,9,nominal
53,few_days,5,nominal
56,few_days,20,nominal
7,no_days,0,nominal
23,no_days,0,nominal
32,no_days,100,nominal
34,no_days,0,nominal
35,no_days,0,nominal
41,no_days,0,nominal
2,Always,91,temporal
3,Always,96,temporal
5,Always,95,temporal
8,Always,100,temporal
9,Always,91,temporal
12,Always,90,temporal
15,Always,93,temporal
16,Always,81,temporal
17,Always,85,temporal
18,Always,98,temporal
21,Always,100,temporal
24,Always,85,temporal
25,Always,82,temporal
26,Always,96,temporal
30,Always,90,temporal
31,Always,72,temporal
33,Always,100,temporal
36,Always,97,temporal
37,Always,92,temporal
39,Always,96,temporal
42,Always,6,temporal
44,Always,100,temporal
45,Always,100,temporal
48,Always,82,temporal
49,Always,100,temporal
52,Always,100,temporal
54,Always,96,temporal
55,Always,100,temporal
2,Usually,66,temporal
3,Usually,66,temporal
5,Usually,80,temporal
8,Usually,85,temporal
9,Usually,70,temporal
12,Usually,80,temporal
15,Usually,85,temporal
16,Usually,39,temporal
17,Usually,70,temporal
18,Usually,70,temporal
21,Usually,70,temporal
24,Usually,68,temporal
25,Usually,61,temporal
26,Usually,68,temporal
30,Usually,75,temporal
31,Usually,10,temporal
33,Usually,80,temporal
36,Usually,64,temporal
37,Usually,91,temporal
39,Usually,67,temporal
42,Usually,18,temporal
44,Usually,68,temporal
45,Usually,75,temporal
48,Usually,53,temporal
49,Usually,85,temporal
52,Usually,80,temporal
54,Usually,85,temporal
55,Usually,77,temporal
2,Mostly,73,temporal
3,Mostly,64,temporal
5,Mostly,90,temporal
8,Mostly,90,temporal
9,Mostly,66,temporal
12,Mostly,70,temporal
15,Mostly,67,temporal
16,Mostly,71,temporal
17,Mostly,61,temporal
18,Mostly,68,temporal
21,Mostly,65,temporal
24,Mostly,77,temporal
25,Mostly,70,temporal
26,Mostly,69,temporal
30,Mostly,80,temporal
31,Mostly,65,temporal
33,Mostly,80,temporal
36,Mostly,74,temporal
37,Mostly,100,temporal
39,Mostly,65,temporal
42,Mostly,100,temporal
44,Mostly,80,temporal
45,Mostly,90,temporal
48,Mostly,59,temporal
49,Mostly,100,temporal
52,Mostly,80,temporal
54,Mostly,85,temporal
55,Mostly,80,temporal
2,Often,73,temporal
3,Often,39,temporal
5,Often,75,temporal
8,Often,75,temporal
9,Often,58,temporal
12,Often,65,temporal
15,Often,54,temporal
16,Often,44,temporal
17,Often,22,temporal
18,Often,55,temporal
21,Often,40,temporal
24,Often,73,temporal
25,Often,62,temporal
26,Often,49,temporal
30,Often,60,temporal
31,Often,40,temporal
33,Often,50,temporal
36,Often,48,temporal
37,Often,72,temporal
39,Often,42,temporal
42,Often,18,temporal
44,Often,67,temporal
45,Often,85,temporal
48,Often,38,temporal
49,Often,50,temporal
52,Often,65,temporal
54,Often,80,temporal
55,Often,42,temporal
2,Frequently,80,temporal
3,Frequently,49,temporal
5,Frequently,90,temporal
8,Frequently,75,temporal
9,Frequently,70,temporal
12,Frequently,70,temporal
15,Frequently,82,temporal
16,Frequently,67,temporal
17,Frequently,51,temporal
18,Frequently,60,temporal
21,Frequently,85,temporal
24,Frequently,76,temporal
25,Frequently,75,temporal
26,Frequently,75,temporal
30,Frequently,75,temporal
31,Frequently,20,temporal
33,Frequently,65,temporal
36,Frequently,47,temporal
37,Frequently,83,temporal
39,Frequently,50,temporal
42,Frequently,100,temporal
44,Frequently,77,temporal
45,Frequently,80,temporal
48,Frequently,61,temporal
49,Frequently,100,temporal
52,Frequently,70,temporal
54,Frequently,70,temporal
55,Frequently,80,temporal
2,Sometimes,23,temporal
3,Sometimes,29,temporal
5,Sometimes,40,temporal
8,Sometimes,50,temporal
9,Sometimes,50,temporal
12,Sometimes,30,temporal
15,Sometimes,26,temporal
16,Sometimes,38,temporal
17,Sometimes,24,temporal
18,Sometimes,38,temporal
21,Sometimes,40,temporal
24,Sometimes,40,temporal
25,Sometimes,26,temporal
26,Sometimes,38,temporal
30,Sometimes,25,temporal
31,Sometimes,38,temporal
33,Sometimes,40,temporal
36,Sometimes,23,temporal
37,Sometimes,42,temporal
39,Sometimes,30,temporal
42,Sometimes,45,temporal
44,Sometimes,32,temporal
45,Sometimes,25,temporal
48,Sometimes,44,temporal
49,Sometimes,41,temporal
52,Sometimes,28,temporal
54,Sometimes,50,temporal
55,Sometimes,34,temporal
2,Occasionally,29,temporal
3,Occasionally,20,temporal
5,Occasionally,20,temporal
8,Occasionally,30,temporal
9,Occasionally,33,temporal
12,Occasionally,30,temporal
15,Occasionally,23,temporal
16,Occasionally,23,temporal
17,Occasionally,20,temporal
18,Occasionally,30,temporal
21,Occasionally,20,temporal
24,Occasionally,13,temporal
25,Occasionally,19,temporal
26,Occasionally,10,temporal
30,Occasionally,25,temporal
31,Occasionally,30,temporal
33,Occasionally,30,temporal
36,Occasionally,13,temporal
37,Occasionally,29,temporal
39,Occasionally,11,temporal
42,Occasionally,21,temporal
44,Occasionally,18,temporal
45,Occasionally,30,temporal
48,Occasionally,33,temporal
49,Occasionally,5,temporal
52,Occasionally,15,temporal
54,Occasionally,45,temporal
55,Occasionally,20,temporal
2,Seldom,4,temporal
3,Seldom,10,temporal
5,Seldom,10,temporal
8,Seldom,15,temporal
9,Seldom,8,temporal
12,Seldom,25,temporal
15,Seldom,9,temporal
16,Seldom,7,temporal
17,Seldom,5,temporal
18,Seldom,25,temporal
21,Seldom,10,temporal
24,Seldom,5,temporal
25,Seldom,7,temporal
26,Seldom,17,temporal
30,Seldom,10,temporal
31,Seldom,2,temporal
33,Seldom,5,temporal
36,Seldom,12,temporal
37,Seldom,15,temporal
39,Seldom,10,temporal
42,Seldom,28,temporal
44,Seldom,6,temporal
45,Seldom,10,temporal
48,Seldom,24,temporal
49,Seldom,20,temporal
52,Seldom,5,temporal
54,Seldom,15,temporal
55,Seldom,8,temporal
2,Rarely,20,temporal
3,Rarely,8,temporal
5,Rarely,15,temporal
8,Rarely,15,temporal
9,Rarely,17,temporal
12,Rarely,10,temporal
15,Rarely,13,temporal
16,Rarely,11,temporal
17,Rarely,20,temporal
18,Rarely,15,temporal
21,Rarely,15,temporal
24,Rarely,11,temporal
25,Rarely,8,temporal
26,Rarely,21,temporal
30,Rarely,20,temporal
31,Rarely,60,temporal
33,Rarely,15,temporal
36,Rarely,10,temporal
37,Rarely,100,temporal
39,Rarely,4,temporal
42,Rarely,0,temporal
44,Rarely,12,temporal
45,Rarely,8,temporal
48,Rarely,27,temporal
49,Rarely,10,temporal
52,Rarely,10,temporal
54,Rarely,30,temporal
55,Rarely,18,temporal
2,Infrequently,20,temporal
3,Infrequently,32,temporal
5,Infrequently,80,temporal
8,Infrequently,30,temporal
9,Infrequently,20,temporal
12,Infrequently,25,temporal
15,Infrequently,56,temporal
16,Infrequently,23,temporal
17,Infrequently,33,temporal
18,Infrequently,30,temporal
21,Infrequently,20,temporal
24,Infrequently,22,temporal
25,Infrequently,26,temporal
26,Infrequently,23,temporal
30,Infrequently,20,temporal
31,Infrequently,30,temporal
33,Infrequently,30,temporal
36,Infrequently,16,temporal
37,Infrequently,29,temporal
39,Infrequently,19,temporal
42,Infrequently,100,temporal
44,Infrequently,20,temporal
45,Infrequently,15,temporal
48,Infrequently,74,temporal
49,Infrequently,72,temporal
52,Infrequently,30,temporal
54,Infrequently,25,temporal
55,Infrequently,24,temporal
2,Never,2,temporal
3,Never,1,temporal
5,Never,0,temporal
9,Never,0,temporal
16,Never,2,temporal
18,Never,2,temporal
24,Never,0,temporal
25,Never,6,temporal
26,Never,2,temporal
30,Never,0,temporal
31,Never,5,temporal
36,Never,1,temporal
37,Never,4,temporal
39,Never,0,temporal
42,Never,28,temporal
52,Never,0,temporal
54,Never,2,temporal
